longitude,latitude
-122.0717075,37.9818878
-122.0717866,37.9787241
-122.0702367,37.9753119
-122.068477,37.9747764
-122.065926,37.9758976
-122.0656529,37.9758818
-122.0657892,37.9761215
-122.0657892,37.9761215
-122.0657892,37.9761215
-122.0717783,37.9817614
-122.0722931,37.9823746
-122.0721424,37.9825474
-122.0660947,37.9769444
-122.066428,37.9770155
-122.0664965,37.9769683
-122.066306,37.9769495
-122.0664013,37.9770157
-122.0665676,37.9769421
-122.0664655,37.9769148
-122.0664135,37.976883
-122.0664143,37.9768585
-122.0662851,37.976951
-122.0663546,37.9770141
-122.0663374,37.9769643
-122.0662669,37.9769674
-122.0661418,37.9769482
-122.0661186,37.9769305
-122.0659649,37.9769232
-122.0672178,37.9819991
-122.0672178,37.9819991
-122.0716907,37.9817712
-122.0727508,37.9826405
-122.0729917,37.9828766
-122.0729917,37.9828766
-122.0729917,37.9828766
-122.0721407,37.9822309
-122.071155,37.9815151
-122.0669496,37.9799975
-122.0597815,37.9377111
-122.0597815,37.9377111
-122.0636649,37.9071245
-122.0636649,37.9071245
-122.0640445,37.9073166
-122.0640515,37.9074337
-122.0639795,37.9071285
-122.0639855,37.9071203
-122.064093,37.9073919
-122.0640972,37.9073218
-122.0640312,37.9073065
-122.0640149,37.9070977
-122.0639348,37.9070848
-122.0640188,37.9071287
-122.0640276,37.9071412
-122.0640365,37.9071194
-122.064041,37.9071165
-122.0640524,37.907131
-122.064062,37.9074446
-122.0640683,37.907455
-122.064067,37.9074544
-122.0640765,37.9074903
-122.0640794,37.9074421
-122.0640702,37.9074842
-122.0640381,37.9074043
-122.0638481,37.9070048
-122.0638935,37.9070416
-122.0639077,37.907064
-122.0640184,37.9073836
-122.0640405,37.9074158
-122.0640425,37.9074281
-122.0640213,37.9071023
-122.0640213,37.9071023
-122.0639844,37.9071307
-122.0639881,37.9071311
-122.064035,37.907415
-122.0640336,37.9074112
-122.0640241,37.9073062
-122.0638855,37.9070181
-122.0639302,37.9070515
-122.0640554,37.9071741
-122.064079,37.9073792
-122.0640407,37.9073848
-122.0640391,37.9074335
-122.0638348,37.9070148
-122.0640477,37.9074825
-122.0640792,37.9074813
-122.064022,37.9071075
-122.0640961,37.9073822
-122.0640711,37.9073845
-122.0640141,37.9074398
-122.0640101,37.9073876
-122.0640757,37.9071632
-122.0639752,37.9073287
-122.063964,37.9073312
-122.06387,37.906986
-122.0640141,37.9073829
-122.0640045,37.9073888
-122.0638852,37.9070294
-122.0638541,37.9070331
-122.0639151,37.9070619
-122.0641,37.9074937
-122.0640473,37.9073593
-122.064292,37.9072501
-122.0639157,37.9070386
-122.0640641,37.9072533
-122.064022,37.9072505
-122.0640208,37.9072328
-122.0637716,37.9071592
-122.0637594,37.9071725
-122.0640927,37.9072568
-122.0640397,37.9074748
-122.0640471,37.9074433
-122.064013,37.9073878
-122.0640417,37.9075058
-122.0640236,37.9073097
-122.0640206,37.9074446
-122.0640227,37.9074151
-122.0640414,37.9075291
-122.0640414,37.9075291
-122.0640265,37.9075551
-122.0640044,37.9075271
-122.0640213,37.9074389
-122.0640378,37.907482
-122.0639833,37.9075392
-122.0640014,37.9074877
-122.0640354,37.9073991
-122.0640124,37.9074826
-122.0639886,37.9074738
-122.0639939,37.9074687
-122.0641119,37.9073811
-122.0640906,37.9073395
-122.063983,37.9070997
-122.063983,37.9070997
-122.0640517,37.9073805
-122.0640209,37.907458
-122.0639985,37.9073945
-122.0639977,37.9073749
-122.0639957,37.9074225
-122.0640155,37.9074788
-122.0640205,37.9074756
-122.0640238,37.9074848
-122.0640265,37.9074903
-122.0640382,37.9075161
-122.0640405,37.9075335
-122.0640722,37.9075331
-122.0640136,37.9074343
-122.0640022,37.9074751
-122.064025,37.9074823
-122.0640425,37.9074642
-122.0640076,37.9074178
-122.0640452,37.9075847
-122.0640378,37.9075821
-122.0637881,37.9070231
-122.0638388,37.9070216
-122.0640897,37.9075066
-122.0640319,37.9074234
-122.0640999,37.9075204
-122.0640049,37.9075117
-122.0640222,37.9075185
-122.0640036,37.9074608
-122.0640993,37.9075458
-122.0640352,37.90743
-122.0639978,37.9074055
-122.0640194,37.907386
-122.064027,37.9074884
-122.0640256,37.9074704
-122.0640893,37.9074637
-122.0640641,37.9074529
-122.0640716,37.9073791
-122.0640505,37.9074642
-122.0640831,37.9071887
-122.0640512,37.9071294
-122.06403,37.9071151
-122.0640066,37.9074082
-122.06401,37.9075407
-122.0639055,37.9075936
-122.0638994,37.9075987
-122.0639166,37.9075903
-122.0640833,37.9075441
-122.0640829,37.9075571
-122.0640406,37.9075269
-122.0640273,37.9074587
-122.0640192,37.9075402
-122.0639975,37.9075154
-122.0639802,37.9073909
-122.0640229,37.9074354
-122.0640245,37.9074779
-122.0640251,37.9074696
-122.0640397,37.9075242
-122.0640114,37.9075088
-122.0640048,37.9074639
-122.0640373,37.9074958
-122.0640007,37.9075064
-122.0639941,37.9074991
-122.0640149,37.9070966
-122.0638452,37.9070261
-122.0640346,37.9075186
-122.0640302,37.9074932
-122.0640171,37.9074616
-122.064027,37.9073858
-122.0640291,37.9072824
-122.0638752,37.9070391
-122.0638582,37.9069955
-122.0640346,37.9073787
-122.0640388,37.90749
-122.064034,37.9073178
-122.0640267,37.9073483
-122.0639848,37.9073519
-122.0640146,37.9073903
-122.0640511,37.9074483
-122.0640077,37.9075271
-122.0640128,37.9075334
-122.0639249,37.9070632
-122.0638799,37.907084
-122.0639975,37.9071098
-122.0639527,37.9070664
-122.0639303,37.9070649
-122.0639388,37.9070671
-122.0639451,37.907112
-122.0640246,37.9071566
-122.0640009,37.907144
-122.0640378,37.9074951
-122.0640285,37.9075445
-122.0640267,37.9075149
-122.0639796,37.907462
-122.0640237,37.9074318
-122.0639803,37.9071007
-122.0640553,37.9074971
-122.0640561,37.9074496
-122.0640059,37.9070991
-122.0640137,37.9073386
-122.0640776,37.9073895
-122.0640276,37.9071308
-122.0640276,37.9071308
-122.0640138,37.9071115
-122.0640007,37.9074304
-122.064029,37.9074231
-122.0640648,37.907424
-122.0640431,37.9074489
-122.063997,37.9074639
-122.0640223,37.9074565
-122.0640453,37.9074652
-122.063814,37.9070069
-122.0640222,37.9075358
-122.0638542,37.9070364
-122.0638475,37.907038
-122.0638832,37.9070796
-122.0640333,37.9074855
-122.0640253,37.9074752
-122.0640231,37.9074869
-122.0640575,37.9075023
-122.0640278,37.9075131
-122.0640197,37.9075216
-122.0640166,37.90744
-122.0640172,37.9074312
-122.064023,37.9074467
-122.0640264,37.9071349
-122.0638774,37.9070518
-122.0638805,37.9070617
-122.0640354,37.9074611
-122.0640227,37.9071568
-122.0638723,37.9070471
-122.0640059,37.9074556
-122.0640168,37.9074455
-122.0640084,37.9074648
-122.0639419,37.9070843
-122.0639249,37.9070715
-122.0640331,37.907142
-122.0640361,37.9074733
-122.0640243,37.907493
-122.0639919,37.9075247
-122.0640268,37.9074145
-122.0640359,37.9074124
-122.0640534,37.9075033
-122.0640243,37.9074821
-122.0640683,37.9074419
-122.0640087,37.907462
-122.0640128,37.9073809
-122.0637759,37.9069699
-122.0637652,37.9069664
-122.064044,37.907153
-122.064038,37.9074963
-122.0640414,37.9074838
-122.0639914,37.90747
-122.0639972,37.907522
-122.0640026,37.9075321
-122.0640381,37.9075185
-122.0640445,37.9074953
-122.0640473,37.907316
-122.0639267,37.9070488
-122.0639267,37.9070488
-122.0640721,37.9075599
-122.0640182,37.907525
-122.0640719,37.9075532
-122.0639709,37.9073122
-122.0640138,37.9074003
-122.0638915,37.9070664
-122.0638856,37.9070665
-122.06405,37.9074571
-122.0640392,37.9074476
-122.0640426,37.9074368
-122.0640422,37.9074892
-122.0640458,37.90747
-122.0640347,37.9073574
-122.064045,37.9075419
-122.0640425,37.9075104
-122.0640098,37.907556
-122.0640175,37.9075654
-122.0640253,37.9074563
-122.0640253,37.9074563
-122.0640381,37.9074912
-122.0640592,37.9074614
-122.0640133,37.9074556
-122.0639966,37.907459
-122.0640112,37.9074924
-122.0640449,37.9075286
-122.0640375,37.9073051
-122.0639425,37.9070546
-122.0640533,37.9075289
-122.0640604,37.9073323
-122.0640431,37.9073708
-122.0640078,37.9075156
-122.0640221,37.9074692
-122.0640666,37.9074744
-122.0640207,37.9075691
-122.0640258,37.9074561
-122.0640445,37.9073427
-122.0640135,37.9074813
-122.0640196,37.9073762
-122.064019,37.9073597
-122.064019,37.9073597
-122.0640489,37.9074852
-122.0640305,37.9075721
-122.0640326,37.9074082
-122.0640407,37.9073426
-122.0640213,37.9071023
-122.0640341,37.9075197
-122.0640625,37.9075609
-122.0640889,37.9076092
-122.0640778,37.9074867
-122.063954,37.9070654
-122.0639653,37.9070747
-122.0640166,37.9075118
-122.0640316,37.9074383
-122.064022,37.9074724
-122.0640708,37.9074815
-122.063907,37.9070881
-122.063907,37.9070881
-122.0640385,37.9074742
-122.0640217,37.9075207
-122.0640175,37.9074196
-122.0640177,37.907389
-122.0640239,37.9074558
-122.064021,37.907509
-122.0640168,37.9073027
-122.0639085,37.907018
-122.0640141,37.9071075
-122.0639837,37.9070917
-122.0640474,37.9075372
-122.0640389,37.9075581
-122.0640334,37.9075523
-122.064011,37.9075632
-122.0640183,37.9075559
-122.0639989,37.9073346
-122.0640265,37.9072564
-122.0640256,37.9073331
-122.0638767,37.9070411
-122.063858,37.90704
-122.0638377,37.9070216
-122.0640421,37.9074607
-122.0640718,37.9075484
-122.0640512,37.9075368
-122.0640318,37.9074289
-122.0640122,37.9073487
-122.0640354,37.9074306
-122.0640437,37.9075026
-122.0640493,37.9074681
-122.0640613,37.9074504
-122.0640526,37.9075058
-122.0640483,37.9075114
-122.0640707,37.9074444
-122.064068,37.9074938
-122.0640783,37.9074867
-122.0640522,37.9075121
-122.0638607,37.9070289
-122.0638799,37.9072447
-122.0640309,37.9075834
-122.0640777,37.9071801
-122.0640305,37.9073763
-122.0640172,37.9074645
-122.0639234,37.9070816
-122.0640048,37.9071193
-122.0640548,37.907447
-122.0640612,37.9075068
-122.0640568,37.9074991
-122.0640852,37.907381
-122.0640845,37.9073585
-122.0640141,37.907508
-122.0640171,37.9073732
-122.0638121,37.907006
-122.0640293,37.9074935
-122.0639711,37.9070881
-122.0639867,37.9070806
-122.0639525,37.9070765
-122.0640115,37.9074519
-122.0640606,37.9074126
-122.0640412,37.9071229
-122.0640217,37.9071366
-122.0640193,37.9071343
-122.0639848,37.9074642
-122.0639734,37.9073932
-122.0640334,37.9072523
-122.0640275,37.9072435
-122.0640535,37.9075114
-122.0640098,37.9073939
-122.0639617,37.9070601
-122.0640427,37.907263
-122.0640463,37.9072599
-122.0638625,37.9070735
-122.0646843,37.907186
-122.0646843,37.907186
-122.0652386,37.9134413
-122.0611055,37.9299203
-122.0609297,37.9773842
-122.0609297,37.9773842
-122.0609951,37.9775001
-122.0711614,37.9815733
-122.0721925,37.9821111
-122.0714258,37.9815011
-122.0654984,37.9120598
-122.0645441,37.9074134
-122.0645441,37.9074134
-122.0641993,37.9071223
-122.0641441,37.9072632
-122.0640068,37.9071348
-122.0639501,37.9071082
-122.0640482,37.9074563
-122.0640527,37.9074476
-122.0640994,37.9074977
-122.0639223,37.9070949
-122.0639223,37.9070949
-122.0638369,37.9070631
-122.0639386,37.9070863
-122.0640726,37.9074667
-122.0640302,37.9074606
-122.063892,37.9070079
-122.0640232,37.9071282
-122.064028,37.907095
-122.0640502,37.9075128
-122.064071,37.907523
-122.06407,37.9075286
-122.0640688,37.9075671
-122.0640667,37.9075699
-122.0640303,37.9074484
-122.0640303,37.9074484
-122.0640721,37.9074792
-122.0640721,37.9074792
-122.0639917,37.9073161
-122.0640822,37.9074423
-122.0640739,37.9075311
-122.0640739,37.9075311
-122.0640754,37.9075143
-122.0637949,37.9070181
-122.0640378,37.907443
-122.0640427,37.9074551
-122.0640365,37.9074595
-122.0640283,37.907508
-122.063981,37.9074735
-122.064071,37.9075514
-122.0640728,37.9075617
-122.0640453,37.9075018
-122.0640746,37.9075313
-122.0640729,37.9075089
-122.0640429,37.907521
-122.0640284,37.907473
-122.0639831,37.9074053
-122.0640788,37.9075239
-122.0640337,37.9075001
-122.0640127,37.9074176
-122.0640126,37.9074456
-122.064053,37.9075207
-122.0640205,37.9074519
-122.0640325,37.9074155
-122.0638484,37.9072676
-122.0638596,37.9072539
-122.0640509,37.9075177
-122.0640079,37.907462
-122.0640054,37.9074633
-122.0640931,37.9075149
-122.0640731,37.9074681
-122.0640361,37.9074424
-122.0640414,37.9074242
-122.0640219,37.9074685
-122.0640229,37.9074681
-122.0640435,37.9074958
-122.0640426,37.9075579
-122.0640394,37.9075551
-122.0640091,37.9075749
-122.0640503,37.9075755
-122.0640464,37.9075709
-122.0640246,37.9075976
-122.0638275,37.9077198
-122.0638346,37.9077122
-122.0640332,37.9075651
-122.0640452,37.9075547
-122.0640467,37.9075404
-122.0640332,37.9075203
-122.0640408,37.9074806
-122.0640323,37.9074651
-122.0640458,37.9074183
-122.0640958,37.9074363
-122.0640501,37.9074984
-122.0638878,37.9071191
-122.0640488,37.9074683
-122.0640378,37.9073794
-122.0640343,37.9074164
-122.0639839,37.9070826
-122.0639839,37.9070826
-122.0640494,37.9074964
-122.0640778,37.9073392
-122.0641064,37.9074306
-122.064043,37.907495
-122.06398,37.9070939
-122.0639793,37.9070933
-122.0640711,37.9075447
-122.064096,37.9074665
-122.0639642,37.9070525
-122.0641039,37.9072632
-122.0639358,37.9071214
-122.0638475,37.9071363
-122.065213,37.9091189
-122.0647905,37.9126659
-122.0647905,37.9126659
-122.0579165,37.9427996
-122.0553954,37.9641114
-122.0643512,37.9761078
-122.064326,37.9760799
-122.064326,37.9760799
-122.064326,37.9760799
-122.064326,37.9760799
-122.064326,37.9760799
-122.064326,37.9760799
-122.0720385,37.9825288
-122.068947,37.9817521
-122.066916,37.9798611
-122.0655318,37.9769057
-122.0633854,37.9765359
-122.0605794,37.9770189
-122.0586551,37.9746807
-122.0567919,37.9724433
-122.0552822,37.9704829
-122.0549583,37.968821
-122.0551957,37.9661171
-122.0541315,37.9635971
-122.0527003,37.9556688
-122.0527319,37.9555529
-122.0537822,37.9529881
-122.0531042,37.9502778
-122.0520373,37.9478628
-122.0510646,37.9480508
-122.0511414,37.9465734
-122.0516742,37.9436271
-122.0517802,37.9408724
-122.0521765,37.9383748
-122.0529157,37.9361701
-122.0534377,37.9333543
-122.0538507,37.9307735
-122.0542283,37.9286368
-122.0546239,37.9266123
-122.0555294,37.9211788
-122.0564697,37.9160756
-122.0582847,37.9110687
-122.0583053,37.9087542
-122.0585384,37.9073264
-122.0605469,37.9068072
-122.0627963,37.9073115
-122.0637351,37.9072108
-122.0636675,37.9071366
-122.0639532,37.9072239
-122.0641209,37.9073097
-122.064036,37.9071141
-122.0640887,37.9073529
-122.0640001,37.9070778
-122.0640942,37.9074742
-122.0640843,37.9073784
-122.064112,37.9071703
-122.0638937,37.9070014
-122.0639128,37.9069977
-122.0640756,37.9074861
-122.064037,37.9074467
-122.0641088,37.9074955
-122.0640933,37.9074765
-122.064083,37.9074477
-122.0640784,37.9074639
-122.0640537,37.9074355
-122.0640769,37.9075106
-122.0640806,37.9075002
-122.0640797,37.9074635
-122.0640873,37.9074479
-122.0640795,37.9074061
-122.0640827,37.907419
-122.0640749,37.9074228
-122.0641009,37.9074863
-122.0640913,37.9074831
-122.0640856,37.9074077
-122.0639841,37.9074075
-122.0640112,37.907485
